,x
2140,61.45
2141,44.98
2142,9.32
2143,19.84
2144,8.4
2145,68.31
2146,34.69
2147,63.3
2148,27.99
2149,17.12
2150,27.99
2151,3.05
2152,7.54
2153,24.61
2154,15.99
2155,11.12
2156,43.49
2157,4.76
2158,26.5
2159,18.2
2160,40.17
2161,31.78
2162,43.24
2163,16.59
2164,5.12
2165,22.52
2166,10.83
2167,29.05
2168,28.26
2169,30.89
2170,48.3
2171,16.08
2172,27.89
2173,71.94
2174,6.17
2175,32.38
2176,12.24
2177,4.71
2178,14.84
2179,34.81
2180,22.57
2181,17.56
2182,4.37
2183,17.05
2184,15.08
2185,17.62
2186,18.29
2187,9.49
2188,15.78
2189,13.21
2190,20.7
2191,46.53
2192,23.29
2193,29.46
2194,22.34
2195,25.1
2196,14.67
2197,21.64
2198,32.86
2199,15.19
2200,7.27
2201,58.49
2202,40.53
2203,4.33
2204,24.44
2205,9.35
2206,20.29
2207,15.37
2208,29.26
2209,8.65
2210,16.36
2211,13.07
2212,9.51
2213,27.86
2214,47.84
2215,15.12
2216,5.68
2217,15.58
2218,26.6
2219,4.74
2220,12.99
2221,7.72
2222,26.67
2223,22.25
2224,13.04
2225,33.04
2226,34.91
2227,18.36
2228,25.12
2229,29.92
2230,55.05
2231,14.78
2232,15.96
2233,79.44
2234,24.66
2235,22.18
2236,21.99
2237,23.17
2238,15.72
2239,16.41
2240,36.38
2241,46.0
2242,9.9
2243,59.98
2244,13.32
2245,19.71
2246,17.04
2247,55.95
2248,24.69
2249,8.08
2250,21.22
2251,8.17
2252,6.86
2253,21.21
2254,9.43
2255,37.46
2256,25.99
2257,10.8
2258,17.92
2259,36.51
2260,13.61
2261,13.47
2262,10.54
2263,38.86
2264,93.54
2265,12.24
2266,16.71
2267,20.81
2268,81.69
2269,11.36
2270,38.19
2271,13.64
2272,36.95
2273,13.48
2274,7.79
2275,28.02
2276,6.46
2277,16.65
2278,10.18
2279,51.94
2280,29.34
2281,30.0
2282,17.62
2283,19.76
2284,21.15
2285,9.21
2286,47.22
2287,19.97
2288,14.51
2289,17.65
2290,81.86
2291,23.16
2292,88.09
2293,8.66
2294,12.73
2295,10.79
2296,6.69
2297,35.46
2298,6.75
2299,23.18
2300,39.09
2301,20.93
2302,59.96
2303,22.92
2304,27.97
2305,18.63
2306,11.8
2307,22.78
2308,4.41
2309,24.94
2310,20.47
2311,26.07
2312,27.51
2313,18.6
2314,32.99
2315,31.31
2316,8.11
2317,40.19
2318,17.34
2319,6.55
2320,34.88
2321,22.91
2322,12.57
2323,20.29
2324,10.66
2325,10.26
2326,23.06
2327,14.16
2328,3.24
2329,39.8
2330,32.98
2331,32.62
2332,23.01
2333,85.77
2334,5.22
2335,7.09
2336,10.15
2337,17.26
2338,7.76
2339,9.81
2340,5.67
2341,17.91
2342,29.53
2343,22.09
2344,42.44
2345,12.79
2346,11.4
2347,17.85
2348,26.2
2349,12.63
2350,14.69
2351,3.07
2352,27.0
2353,12.1
2354,16.31
2355,4.88
2356,36.73
2357,13.65
2358,8.3
2359,31.08
2360,16.61
2361,22.36
2362,21.68
2363,12.35
2364,20.76
2365,40.17
2366,4.29
2367,31.17
2368,10.16
2369,12.35
2370,17.8
2371,10.89
2372,16.49
2373,12.06
2374,9.92
2375,14.64
2376,34.91
2377,29.65
2378,15.3
2379,33.89
2380,21.18
2381,65.82
2382,29.92
2383,37.43
2384,37.22
2385,14.22
2386,21.36
2387,12.2
2388,49.26
2389,16.94
2390,20.63
2391,28.12
2392,11.9
2393,22.19
2394,21.54
2395,6.65
2396,47.22
2397,5.76
2398,20.13
2399,65.58
2400,14.62
2401,21.28
2402,17.73
2403,32.43
2404,25.79
2405,45.38
2406,9.9
2407,30.05
2408,38.65
2409,36.82
2410,50.39
2411,20.71
2412,37.02
2413,10.03
2414,44.86
2415,15.87
2416,41.89
2417,9.91
2418,23.38
2419,26.94
2420,75.5
2421,19.09
2422,26.49
2423,7.4
2424,9.58
2425,9.07
2426,14.16
2427,42.13
2428,24.44
2429,28.88
2430,29.43
2431,12.42
2432,9.09
2433,10.14
2434,24.37
2435,51.86
2436,19.16
2437,25.44
2438,26.4
2439,6.37
2440,11.23
2441,9.12
2442,3.09
2443,9.9
2444,12.17
2445,106.75
2446,37.97
2447,42.86
2448,20.28
2449,19.68
2450,4.49
2451,29.6
2452,7.05
2453,54.37
2454,13.96
2455,13.31
2456,32.12
2457,3.32
2458,23.14
2459,23.68
2460,24.16
2461,39.28
2462,13.64
2463,16.06
2464,58.23
2465,8.27
2466,8.3
2467,10.19
2468,32.09
2469,8.54
2470,22.73
2471,21.1
2472,22.78
2473,18.98
2474,79.3
2475,83.21
2476,26.34
2477,106.37
2478,33.87
2479,54.9
2480,7.11
2481,25.53
2482,8.42
2483,25.13
2484,18.14
2485,18.85
2486,13.69
2487,18.75
2488,10.86
2489,37.29
2490,65.32
2491,13.57
2492,12.88
2493,7.71
2494,50.77
2495,6.03
2496,7.46
2497,18.62
2498,48.81
2499,38.6
2500,103.94
2501,30.93
2502,65.49
2503,40.96
2504,15.02
2505,65.59
2506,57.49
2507,19.19
2508,13.9
2509,23.47
2510,7.25
2511,20.06
2512,19.71
2513,9.33
2514,6.64
2515,14.79
2516,17.76
2517,8.33
2518,33.83
2519,17.53
2520,33.04
2521,13.68
2522,15.51
2523,55.18
2524,20.98
2525,24.67
2526,29.74
2527,19.67
2528,101.81
2529,7.94
2530,12.02
2531,26.38
2532,31.17
2533,8.4
2534,21.99
2535,26.51
2536,60.14
2537,13.23
2538,47.56
2539,16.41
2540,18.99
2541,29.38
2542,9.53
2543,44.85
2544,7.14
2545,14.99
2546,18.46
2547,12.04
2548,35.06
2549,14.86
2550,35.59
2551,19.9
2552,33.14
2553,59.56
2554,26.16
2555,31.59
2556,38.33
2557,36.4
2558,32.35
2559,22.47
2560,13.36
2561,27.96
2562,24.64
2563,27.89
2564,110.04
2565,56.73
2566,37.97
2567,53.93
2568,16.78
2569,69.83
2570,49.4
2571,55.95
2572,47.33
2573,53.03
2574,24.04
2575,66.61
2576,16.0
2577,37.53
2578,72.34
2579,38.5
2580,21.58
2581,31.21
2582,25.91
2583,30.6
2584,28.64
2585,32.26
2586,41.96
2587,45.15
2588,58.42
2589,28.94
2590,23.47
2591,51.97
2592,48.47
2593,44.89
2594,40.66
2595,18.31
2596,30.58
2597,16.79
2598,19.53
2599,38.73
2600,20.7
2601,24.14
2602,30.7
2603,36.83
2604,42.73
2605,17.56
2606,16.0
2607,26.37
2608,72.36
2609,33.95
2610,67.73
2611,42.29
2612,23.59
2613,32.39
2614,43.25
2615,35.35
2616,16.78
2617,39.78
2618,28.98
2619,16.53
2620,23.17
2621,33.66
2622,36.62
2623,40.37
2624,23.72
2625,51.54
2626,46.62
2627,25.27
2628,27.54
2629,32.63
2630,18.37
2631,14.79
2632,110.76
2633,36.7
2634,30.28
2635,82.14
2636,51.01
2637,39.82
2638,25.56
2639,39.36
2640,31.79
2641,17.92
2642,28.0
2643,23.37
2644,14.18
2645,47.47
2646,37.01
2647,53.85
2648,17.12
2649,24.5
2650,39.41
2651,61.89
2652,41.11
2653,70.17
2654,34.02
2655,51.98
2656,33.91
2657,73.55
2658,36.12
2659,64.51
2660,79.89
2661,20.98
2662,16.24
2663,53.38
2664,35.21
2665,40.6
2666,43.26
2667,23.63
2668,30.89
2669,27.18
2670,42.98
2671,39.42
2672,14.78
2673,20.95
2674,43.19
2675,30.98
2676,39.67
2677,75.55
2678,34.75
2679,44.53
2680,53.23
2681,37.91
2682,36.94
2683,21.46
2684,30.95
2685,36.65
2686,38.45
2687,12.97
2688,17.31
2689,39.88
2690,24.19
2691,11.95
2692,20.05
2693,43.15
2694,107.53
2695,18.8
2696,24.63
2697,36.83
2698,15.76
2699,21.34
2700,57.45
2701,35.47
2702,36.77
2703,21.09
2704,110.38
2705,23.55
2706,23.32
2707,34.01
2708,63.26
2709,32.52
2710,22.57
2711,26.59
2712,28.74
2713,30.73
2714,26.57
2715,42.61
2716,28.0
2717,27.92
2718,26.86
2719,25.44
2720,17.18
2721,30.34
2722,30.69
2723,55.86
2724,20.23
2725,22.05
2726,42.32
2727,14.87
2728,75.31
2729,28.21
2730,16.26
2731,21.96
2732,60.45
2733,47.55
2734,36.57
2735,30.51
2736,71.98
2737,43.76
2738,13.05
2739,21.73
2740,26.92
2741,40.88
2742,35.87
2743,48.04
2744,78.73
2745,67.18
2746,31.66
2747,42.03
2748,73.94
2749,50.65
2750,27.1
2751,59.47
2752,49.5
2753,46.92
2754,22.54
2755,41.34
2756,38.99
2757,19.67
2758,80.08
2759,26.16
2760,58.22
2761,42.22
2762,28.87
2763,9.08
2764,57.8
2765,24.46
2766,18.46
2767,18.61
2768,28.91
2769,42.97
2770,20.04
2771,64.09
2772,19.37
2773,24.24
2774,22.35
2775,19.19
2776,45.26
2777,24.44
2778,41.93
2779,38.86
2780,20.09
2781,33.04
2782,31.84
2783,19.69
2784,19.45
2785,14.15
2786,35.96
2787,45.91
2788,33.55
2789,18.76
2790,33.0
2791,24.9
2792,49.11
2793,46.89
2794,82.08
2795,20.38
2796,72.95
2797,19.08
2798,19.4
2799,16.04
2800,38.45
2801,29.62
2802,45.6
2803,18.45
2804,65.03
2805,98.21
2806,25.39
2807,23.22
2808,99.1
2809,49.83
2810,44.78
2811,25.16
2812,16.78
2813,25.77
2814,60.08
2815,36.84
2816,20.12
2817,43.8
2818,55.23
2819,23.3
2820,43.18
2821,49.61
2822,60.71
2823,23.89
2824,29.81
2825,35.13
2826,54.95
2827,44.81
2828,31.43
2829,21.36
2830,39.85
2831,27.45
2832,35.98
2833,20.6
2834,52.51
2835,63.78
2836,42.85
2837,39.6
2838,47.26
2839,25.63
2840,32.37
2841,32.72
2842,48.17
2843,23.68
2844,20.66
2845,22.33
2846,35.19
2847,12.66
2848,26.72
2849,25.25
2850,25.54
2851,29.37
2852,65.63
2853,32.61
2854,57.08
2855,20.8
2856,33.1
2857,33.67
2858,52.9
2859,37.23
2860,72.94
2861,18.94
2862,27.5
2863,32.2
2864,48.01
2865,32.08
2866,22.21
2867,44.65
2868,36.34
2869,60.2
2870,53.15
2871,37.8
2872,64.45
2873,38.73
2874,22.16
2875,27.67
2876,31.07
2877,32.96
2878,41.04
2879,31.91
2880,63.78
2881,40.55
2882,27.81
2883,38.41
2884,48.65
2885,19.71
2886,24.9
2887,25.97
2888,50.52
2889,27.07
2890,25.12
2891,11.27
2892,70.42
2893,22.91
2894,21.81
2895,19.25
2896,22.73
2897,39.75
2898,81.72
2899,36.15
2900,15.9
2901,70.3
2902,36.36
2903,42.3
2904,46.15
2905,35.88
2906,66.57
2907,30.67
2908,19.76
2909,25.98
2910,24.04
2911,20.45
2912,26.76
2913,22.01
2914,33.8
2915,39.84
2916,37.54
2917,20.77
2918,28.89
2919,27.83
2920,36.09
2921,59.68
2922,39.5
2923,17.2
2924,87.16
2925,31.91
2926,40.6
2927,66.66
2928,35.96
2929,29.12
2930,28.68
2931,24.63
2932,30.57
2933,17.23
2934,20.76
2935,40.42
2936,32.87
2937,51.73
2938,27.01
2939,36.65
2940,42.89
2941,55.13
2942,31.29
2943,36.55
2944,48.37
2945,25.59
2946,42.19
2947,48.12
2948,28.75
2949,76.41
2950,31.59
2951,11.57
2952,29.04
2953,70.06
2954,79.94
2955,74.73
2956,19.07
2957,25.78
2958,40.3
2959,11.46
2960,16.29
2961,49.36
2962,34.42
2963,64.69
2964,53.3
2965,22.38
2966,30.57
2967,38.85
2968,36.69
2969,84.46
2970,11.69
2971,32.92
2972,26.95
2973,56.21
2974,38.83
2975,35.28
2976,35.75
2977,29.04
2978,16.15
2979,31.72
2980,9.94
2981,49.73
2982,59.83
2983,56.64
2984,78.84
2985,22.86
2986,25.62
2987,40.3
2988,24.72
2989,29.12
2990,33.6
2991,25.69
2992,28.3
2993,20.88
2994,33.11
2995,29.6
2996,30.97
2997,26.08
2998,46.67
2999,71.63
3000,45.2
3001,41.24
3002,49.75
3003,36.66
3004,32.13
3005,44.81
3006,36.11
3007,24.61
3008,22.34
3009,29.66
3010,48.52
3011,41.14
3012,54.92
3013,50.35
3014,50.25
3015,68.98
3016,37.81
3017,50.69
3018,48.15
3019,57.06
3020,24.62
3021,37.49
3022,28.94
3023,29.06
3024,33.05
3025,28.98
3026,21.52
3027,54.63
3028,25.82
3029,40.71
3030,38.34
3031,23.96
3032,36.77
3033,31.06
3034,24.13
3035,17.59
3036,18.64
3037,31.11
3038,30.54
3039,23.86
3040,87.23
3041,30.5
3042,57.71
3043,41.73
3044,56.72
3045,43.95
3046,30.59
3047,42.36
3048,38.3
3049,32.24
3050,39.74
3051,21.92
3052,35.02
3053,53.84
3054,50.16
3055,49.54
3056,28.41
3057,50.6
3058,31.77
3059,89.11
3060,47.13
3061,37.1
3062,35.73
3063,40.42
3064,19.95
3065,33.14
3066,32.97
3067,36.5
3068,54.6
3069,15.27
3070,48.12
3071,11.54
3072,33.66
3073,26.21
3074,16.57
3075,24.47
3076,38.63
3077,26.48
3078,18.54
3079,40.96
3080,55.19
3081,62.37
3082,70.41
3083,93.48
3084,18.23
3085,45.2
3086,34.39
3087,55.16
3088,38.07
3089,13.91
3090,33.17
3091,19.75
3092,91.64
3093,32.12
3094,63.52
3095,48.46
3096,33.39
3097,65.3
3098,40.64
3099,34.47
3100,40.14
3101,45.71
3102,59.06
3103,27.01
3104,16.5
3105,45.86
3106,46.72
3107,18.11
3108,48.81
3109,51.26
3110,41.24
3111,42.08
3112,42.9
3113,36.71
3114,20.58
3115,30.12
3116,25.05
3117,50.13
3118,27.61
3119,35.56
3120,46.13
3121,56.64
3122,38.11
3123,38.76
3124,26.88
3125,19.14
3126,44.41
3127,28.97
3128,31.0
3129,63.18
3130,45.68
3131,54.67
3132,39.82
3133,46.22
3134,53.52
3135,35.69
3136,30.61
3137,36.49
3138,44.15
3139,38.97
3140,25.03
3141,25.88
3142,35.09
3143,23.7
3144,16.66
3145,63.78
3146,36.41
3147,28.6
3148,71.85
3149,56.85
3150,30.76
3151,30.86
3152,15.79
3153,20.5
3154,21.91
3155,17.15
3156,26.64
3157,26.01
3158,53.82
3159,25.73
3160,20.42
3161,26.18
3162,28.49
3163,23.41
3164,15.38
3165,17.88
3166,15.43
3167,36.21
3168,69.63
3169,52.87
3170,25.66
3171,14.73
3172,23.38
3173,20.08
3174,31.61
3175,19.96
3176,48.42
3177,35.25
3178,18.67
3179,44.31
3180,49.05
3181,29.94
3182,32.13
3183,64.91
3184,49.55
3185,21.51
3186,39.63
3187,78.46
3188,39.74
3189,20.71
3190,36.12
3191,27.67
3192,43.1
3193,42.16
3194,34.42
3195,42.75
3196,33.86
3197,55.6
3198,20.13
3199,29.35
3200,25.41
3201,35.09
3202,68.89
3203,58.3
3204,16.52
3205,34.01
3206,38.56
3207,24.57
3208,53.19
3209,68.94
3210,72.19
3211,32.37
3212,15.91
3213,27.23
3214,38.44
3215,28.83
3216,40.82
3217,30.54
3218,60.99
3219,33.92
3220,75.46
3221,27.21
3222,26.75
3223,21.99
3224,19.16
3225,28.9
3226,19.74
3227,44.67
3228,72.91
3229,54.84
3230,47.52
3231,54.27
3232,33.08
3233,43.97
3234,26.16
3235,40.24
3236,22.6
3237,26.2
3238,25.59
3239,36.72
3240,21.69
3241,74.23
3242,30.79
3243,27.56
3244,49.01
3245,29.42
3246,23.71
3247,31.07
3248,47.72
3249,49.37
3250,44.73
3251,63.57
3252,29.51
3253,38.31
3254,45.45
3255,53.74
3256,75.77
3257,33.09
3258,39.21
3259,63.32
3260,54.23
3261,53.31
3262,57.48
3263,27.45
3264,28.74
3265,23.98
3266,49.14
3267,36.16
3268,19.6
3269,35.53
3270,41.0
3271,60.21
3272,53.69
3273,36.73
3274,30.02
3275,82.58
3276,21.86
3277,58.97
3278,18.92
3279,27.24
3280,43.99
3281,53.92
3282,33.68
3283,33.4
3284,46.9
3285,50.85
3286,29.14
3287,55.0
3288,18.03
3289,26.37
3290,9.79
3291,20.84
3292,62.5
3293,40.01
3294,42.13
3295,55.1
3296,27.19
3297,32.14
3298,37.81
3299,27.65
3300,43.65
3301,23.07
3302,28.37
3303,24.72
3304,39.93
3305,46.87
3306,74.69
3307,37.27
3308,43.2
3309,61.13
3310,34.54
3311,30.79
3312,29.24
3313,26.92
3314,21.26
3315,26.15
3316,29.09
3317,32.22
3318,17.74
3319,43.5
3320,26.67
3321,58.71
3322,24.43
3323,24.3
3324,31.19
3325,60.29
3326,24.73
3327,47.45
3328,30.74
3329,34.16
3330,62.7
3331,56.03
3332,38.16
3333,40.8
3334,36.63
3335,45.17
3336,38.58
3337,12.37
3338,18.62
3339,25.57
3340,31.52
3341,37.05
3342,48.0
3343,23.88
3344,33.66
3345,52.95
3346,85.51
3347,45.99
3348,33.35
3349,17.55
3350,21.1
3351,49.7
3352,16.91
3353,74.74
3354,106.44
3355,43.52
3356,39.3
3357,11.98
3358,35.04
3359,28.99
3360,37.3
3361,10.93
3362,41.66
3363,51.51
3364,94.5
3365,28.29
3366,24.72
3367,19.83
3368,29.2
3369,35.97
3370,83.06
3371,32.76
3372,63.29
3373,39.38
3374,32.38
3375,86.89
3376,42.91
3377,20.12
3378,30.14
3379,27.26
3380,30.64
3381,61.47
3382,28.63
3383,61.35
3384,86.95
3385,27.62
3386,22.94
3387,57.53
3388,22.19
3389,59.3
3390,34.6
3391,24.1
3392,28.51
3393,74.7
3394,24.15
3395,48.57
3396,20.36
3397,34.37
3398,71.66
3399,27.02
3400,58.31
3401,29.38
3402,43.24
3403,90.64
3404,17.88
3405,54.72
3406,21.75
3407,63.92
3408,24.96
3409,95.44
3410,51.71
3411,54.08
3412,38.46
3413,70.46
3414,33.73
3415,56.28
3416,88.99
3417,28.43
3418,29.65
3419,54.36
3420,38.13
3421,38.24
3422,56.94
3423,50.79
3424,77.58
3425,62.88
3426,29.56
3427,52.79
3428,35.92
3429,70.7
3430,16.51
3431,15.29
3432,46.06
3433,25.38
3434,29.22
3435,36.02
3436,31.09
3437,25.95
3438,66.26
3439,27.61
3440,49.69
3441,48.52
3442,43.48
3443,6.49
3444,3.8
3445,45.28
3446,16.38
3447,37.46
3448,34.2
3449,6.44
3450,39.75
3451,53.1
3452,6.18
3453,18.22
3454,47.62
3455,45.15
3456,43.76
3457,20.21
3458,16.17
3459,23.42
3460,8.56
3461,9.49
3462,12.77
3463,12.68
3464,13.45
3465,14.26
3466,50.56
3467,27.33
3468,14.64
3469,7.2
3470,6.98
3471,8.26
3472,11.96
3473,38.26
3474,15.54
3475,26.35
3476,20.04
3477,28.37
3478,29.01
3479,18.02
3480,33.35
3481,3.34
3482,26.37
3483,12.2
3484,22.19
3485,31.15
3486,40.71
3487,8.97
3488,13.85
3489,22.26
3490,15.83
3491,30.68
3492,7.08
3493,8.45
3494,13.15
3495,18.58
3496,11.08
3497,26.65
3498,14.78
3499,7.2
3500,16.39
3501,5.32
3502,37.05
3503,44.41
3504,9.58
3505,4.98
3506,36.98
3507,67.68
3508,6.89
3509,12.51
3510,18.56
3511,19.07
3512,16.44
3513,23.38
3514,9.69
3515,8.19
3516,8.96
3517,15.25
3518,7.34
3519,20.06
3520,9.07
3521,19.1
3522,6.23
3523,11.43
3524,17.67
3525,3.37
3526,26.87
3527,14.84
3528,17.41
3529,18.8
3530,23.08
3531,14.92
3532,9.87
3533,28.26
3534,25.5
3535,8.05
3536,29.87
3537,31.56
3538,35.81
3539,22.58
3540,10.46
3541,18.47
3542,14.27
3543,61.35
3544,8.69
3545,21.99
3546,34.43
3547,37.33
3548,35.82
3549,26.16
3550,3.55
3551,17.29
3552,13.5
3553,8.09
3554,62.34
3555,42.42
3556,33.79
3557,4.58
3558,19.98
3559,19.53
3560,44.86
3561,47.17
3562,16.56
3563,61.18
3564,58.69
3565,10.87
3566,31.23
3567,4.29
3568,23.6
3569,26.45
3570,17.87
3571,22.88
3572,5.49
3573,33.47
3574,24.28
3575,10.59
3576,32.89
3577,18.46
3578,39.3
3579,16.38
3580,47.34
3581,4.29
3582,37.95
3583,6.59
3584,34.54
3585,36.09
3586,12.87
3587,24.1
3588,24.0
3589,19.01
3590,33.66
3591,24.29
3592,22.54
3593,17.93
3594,41.84
3595,43.06
3596,5.4
3597,13.89
3598,6.27
3599,20.0
3600,3.6
3601,7.23
3602,31.51
3603,29.8
3604,13.5
3605,3.56
3606,17.72
3607,8.74
3608,10.65
3609,14.92
3610,41.04
3611,25.22
3612,11.6
3613,37.35
3614,17.69
3615,21.92
3616,14.33
3617,22.6
3618,4.87
3619,22.63
3620,6.75
3621,18.48
3622,10.84
3623,8.29
3624,42.53
3625,48.38
3626,7.3
3627,10.44
3628,7.77
3629,28.14
3630,15.27
3631,6.5
3632,15.29
3633,18.57
3634,7.95
3635,76.87
3636,3.75
3637,10.52
3638,27.86
3639,11.54
3640,10.19
3641,11.7
3642,18.59
3643,16.35
3644,37.49
3645,20.61
3646,28.53
3647,13.43
3648,11.69
3649,8.94
3650,12.55
3651,19.7
3652,13.68
3653,7.69
3654,16.57
3655,12.78
3656,11.99
3657,21.51
3658,29.2
3659,70.64
3660,8.23
3661,24.25
3662,11.92
3663,19.65
3664,20.73
3665,7.03
3666,36.82
3667,3.44
3668,54.37
3669,9.97
3670,5.98
3671,25.17
3672,20.45
3673,34.65
3674,22.08
3675,5.77
3676,8.08
3677,42.43
3678,15.57
3679,34.86
3680,33.48
3681,44.68
3682,6.24
3683,13.57
3684,18.79
3685,3.04
3686,27.51
3687,13.56
3688,3.13
3689,16.19
3690,22.49
3691,13.85
3692,12.61
3693,35.21
3694,25.36
3695,13.73
3696,21.77
3697,18.78
3698,14.28
3699,5.33
3700,33.75
3701,5.34
3702,20.73
3703,9.86
3704,20.6
3705,13.02
3706,13.83
3707,54.06
3708,5.54
3709,19.26
3710,9.31
3711,17.75
3712,27.95
3713,15.87
3714,22.72
3715,30.37
3716,40.3
3717,39.3
3718,21.65
3719,10.48
3720,15.51
3721,55.25
3722,9.09
3723,7.42
3724,18.0
3725,3.66
3726,13.1
3727,23.05
3728,11.75
3729,3.03
3730,55.6
3731,6.94
3732,23.5
3733,7.81
3734,43.86
3735,37.1
3736,8.48
3737,23.39
3738,27.98
3739,22.78
3740,32.95
3741,26.7
3742,43.19
3743,9.24
3744,18.01
3745,31.28
3746,13.68
3747,12.64
3748,10.71
3749,21.13
3750,4.74
3751,28.03
3752,37.99
3753,39.82
3754,8.49
3755,10.81
3756,26.63
3757,13.5
3758,11.22
3759,8.2
3760,38.18
3761,64.71
3762,16.48
3763,5.45
3764,19.39
3765,23.14
3766,3.43
3767,18.58
3768,23.74
3769,21.43
3770,5.15
3771,4.38
3772,19.28
3773,30.51
3774,11.11
3775,21.59
3776,31.3
3777,22.73
3778,18.67
3779,12.27
3780,7.56
3781,4.83
3782,9.19
3783,12.09
3784,37.79
3785,29.78
3786,13.51
3787,29.55
3788,13.53
3789,24.43
3790,15.66
3791,41.06
3792,6.25
3793,10.08
3794,6.4
3795,40.84
3796,13.87
3797,12.77
3798,15.87
3799,4.72
3800,11.05
3801,10.9
3802,18.92
3803,4.34
3804,10.76
3805,17.01
3806,48.25
3807,9.02
3808,28.38
3809,3.74
3810,11.8
3811,61.94
3812,42.32
3813,22.45
3814,29.88
3815,19.59
3816,8.06
3817,42.66
3818,8.49
3819,15.6
3820,17.13
3821,22.75
3822,42.93
3823,11.09
3824,4.86
3825,8.47
3826,22.81
3827,7.6
3828,6.03
3829,8.26
3830,16.12
3831,5.35
3832,18.39
3833,10.64
3834,3.74
3835,27.2
3836,17.56
3837,30.28
3838,43.03
3839,15.04
3840,15.85
3841,7.53
3842,19.56
3843,31.58
3844,77.7
3845,39.58
3846,25.06
3847,15.63
3848,10.09
3849,16.88
3850,17.94
3851,34.44
3852,22.67
3853,42.89
3854,11.44
3855,19.15
3856,37.54
3857,31.95
3858,13.11
3859,60.82
3860,10.0
3861,15.72
3862,9.85
3863,11.71
3864,23.22
3865,11.19
3866,30.93
3867,6.04
3868,19.67
3869,21.79
3870,9.55
3871,16.75
3872,36.11
3873,50.63
3874,15.56
3875,23.98
3876,22.78
3877,23.72
3878,13.83
3879,30.02
3880,29.2
3881,11.11
3882,22.92
3883,5.89
3884,14.26
3885,16.25
3886,16.37
3887,21.7
3888,19.43
3889,28.29
3890,101.16
3891,25.27
3892,91.7
3893,17.88
3894,22.41
3895,23.27
3896,9.7
3897,26.43
3898,62.42
3899,26.14
3900,32.97
3901,16.92
3902,74.59
3903,10.88
3904,30.11
3905,19.02
3906,52.84
3907,45.04
3908,37.4
3909,26.06
3910,20.03
3911,50.59
3912,19.12
3913,8.47
3914,13.72
3915,15.91
3916,7.9
3917,38.72
3918,38.54
3919,14.44
3920,25.47
3921,21.88
3922,50.5
3923,12.21
3924,16.19
3925,21.97
3926,67.04
3927,41.01
3928,31.45
3929,28.23
3930,49.5
3931,19.15
3932,35.44
3933,23.31
3934,41.58
3935,14.74
3936,24.84
3937,22.36
3938,28.82
3939,21.39
3940,25.61
3941,29.62
3942,22.89
3943,11.88
3944,27.95
3945,13.36
3946,11.73
3947,4.81
3948,116.01
3949,13.67
3950,14.46
3951,43.16
3952,40.78
3953,25.38
3954,17.64
3955,45.27
3956,13.22
3957,26.82
3958,14.03
3959,22.66
3960,22.15
3961,52.92
3962,32.8
3963,30.69
3964,23.1
3965,62.44
3966,27.72
3967,48.67
3968,62.24
3969,29.52
3970,26.15
3971,9.61
3972,40.42
3973,17.74
3974,35.03
3975,15.83
3976,23.86
3977,57.4
3978,40.88
3979,68.55
3980,19.77
3981,15.05
3982,24.76
3983,29.34
3984,17.93
3985,20.71
3986,100.66
3987,21.02
3988,38.55
3989,19.23
3990,12.32
3991,37.39
3992,24.96
3993,13.79
3994,15.77
3995,34.1
3996,44.35
3997,28.39
3998,13.34
3999,43.21
4000,20.16
4001,35.39
4002,53.25
4003,20.45
4004,19.19
4005,46.96
4006,46.29
4007,73.85
4008,37.12
4009,17.54
4010,35.24
4011,42.05
4012,24.1
4013,38.95
4014,40.91
4015,27.15
4016,33.38
4017,28.51
4018,14.33
4019,31.63
4020,12.6
4021,30.81
4022,17.54
4023,17.86
4024,33.65
4025,33.35
4026,27.72
4027,12.68
4028,28.79
4029,39.86
4030,19.67
4031,8.78
4032,9.82
4033,29.45
4034,42.9
4035,19.94
4036,102.09
4037,32.22
4038,27.82
4039,9.54
4040,55.85
4041,27.8
4042,17.49
4043,9.62
4044,18.8
4045,18.76
4046,20.35
4047,35.44
4048,16.2
4049,7.55
4050,44.98
4051,32.74
4052,10.43
4053,27.82
4054,15.07
4055,57.7
4056,23.15
4057,18.23
4058,17.5
4059,30.9
4060,8.85
4061,14.37
4062,8.96
4063,27.92
4064,58.53
4065,32.97
4066,77.86
4067,11.85
4068,19.59
4069,33.83
4070,55.45
4071,14.56
4072,29.82
4073,10.03
4074,5.0
4075,17.18
4076,16.13
4077,10.21
4078,9.97
4079,13.43
4080,15.17
4081,12.28
4082,19.48
4083,13.88
4084,46.83
4085,18.17
4086,32.66
4087,10.68
4088,11.21
4089,42.06
4090,25.1
4091,27.18
4092,91.86
4093,32.47
4094,32.69
4095,16.72
4096,52.2
4097,11.12
4098,60.42
4099,25.85
4100,42.44
4101,13.82
4102,23.31
4103,13.72
4104,9.64
4105,19.81
4106,25.34
4107,24.62
4108,27.73
4109,36.91
4110,28.17
4111,20.61
4112,38.08
4113,39.1
4114,25.17
4115,19.15
4116,25.97
4117,16.97
4118,20.39
4119,23.54
4120,111.47
4121,34.96
4122,19.24
4123,15.11
4124,53.17
4125,8.0
4126,16.22
4127,31.12
4128,29.32
4129,17.19
4130,16.32
4131,29.52
4132,116.14
4133,51.79
4134,18.69
4135,18.83
4136,12.64
4137,23.41
4138,32.06
