,x
532,20.5
533,22.77
534,12.94
535,22.8
536,33.74
537,34.09
538,26.32
539,41.47
540,22.58
541,36.04
542,20.91
543,24.43
544,16.31
545,39.97
546,14.93
547,23.43
548,23.72
549,25.71
550,32.26
551,23.17
552,16.57
553,35.41
554,15.55
555,11.29
556,32.06
557,18.22
558,13.5
559,26.55
560,23.09
561,16.64
562,21.1
563,29.19
564,16.23
565,19.6
566,13.73
567,25.56
568,17.73
569,16.55
570,18.8
571,27.27
572,20.1
573,25.37
574,22.09
575,17.29
576,32.89
577,26.42
578,21.73
579,19.4
580,24.6
581,14.35
582,18.65
583,19.5
584,27.02
585,24.11
586,18.42
587,30.24
588,18.45
589,23.8
590,13.63
591,23.7
592,45.14
593,27.18
594,18.95
595,20.13
596,15.83
597,14.17
598,26.76
599,18.36
600,38.81
601,36.95
602,36.24
603,20.35
604,25.25
605,23.14
606,13.44
607,16.15
608,21.46
609,23.89
610,33.06
611,18.51
612,16.4
613,22.87
614,21.93
615,16.78
616,18.94
617,23.5
618,29.14
619,31.42
620,22.15
621,30.3
622,22.55
623,28.77
624,25.64
625,49.35
626,35.32
627,18.56
628,22.69
629,23.35
630,25.2
631,20.01
632,29.8
633,28.13
634,40.19
635,20.35
636,28.13
637,22.97
638,18.0
639,37.9
640,25.03
641,21.63
642,28.94
643,17.65
644,17.81
645,19.64
646,34.21
647,18.49
648,20.0
649,33.06
650,35.75
651,26.91
652,31.02
653,18.58
654,32.58
655,20.8
656,18.32
657,39.59
658,29.5
659,16.4
660,18.52
661,26.29
662,29.72
663,21.83
664,32.3
665,30.74
666,24.75
667,20.18
668,12.33
669,23.11
670,18.41
671,15.38
672,31.27
673,26.64
674,15.55
675,21.83
676,33.2
677,33.5
678,21.48
679,22.62
680,25.59
681,23.65
682,16.65
683,14.42
684,25.12
685,19.59
686,24.92
687,14.91
688,20.27
689,26.49
690,30.21
691,29.55
692,29.27
693,25.16
694,27.99
695,26.34
696,16.91
697,30.38
698,34.51
699,32.67
700,31.15
701,21.68
702,20.74
703,29.86
704,26.31
705,29.13
706,32.09
707,26.84
708,21.14
709,30.12
710,26.7
711,30.81
712,15.58
713,21.84
714,36.86
715,23.77
716,32.85
717,14.27
718,42.85
719,18.57
720,28.28
721,20.68
722,30.01
723,31.47
724,40.91
725,23.0
726,26.11
727,28.29
728,16.01
729,37.0
730,36.94
731,41.13
732,18.41
733,11.01
734,15.58
735,27.53
736,34.24
737,20.05
738,19.43
739,26.96
740,18.33
741,21.97
742,30.82
743,15.03
744,24.36
745,16.37
746,32.3
747,11.01
748,19.04
749,12.89
750,28.11
751,30.72
752,29.14
753,22.36
754,13.02
755,16.47
756,32.25
757,21.89
758,25.8
759,15.2
760,16.86
761,17.45
762,19.91
763,39.19
764,22.07
765,23.11
766,15.33
767,19.39
768,29.42
769,19.73
770,25.27
771,25.2
772,22.36
773,14.53
774,20.57
775,22.7
776,23.05
777,29.58
778,23.76
779,22.98
780,10.38
781,36.04
782,15.56
783,36.0
784,16.07
785,22.1
786,14.52
787,28.58
788,30.49
789,28.57
790,17.47
791,14.55
792,23.53
793,25.15
794,19.59
795,19.16
796,46.55
797,27.1
798,18.62
799,25.99
800,25.95
801,24.79
802,29.57
803,26.69
804,23.36
805,16.36
806,31.01
807,20.58
808,31.06
809,29.54
810,15.37
811,19.88
812,20.51
813,22.87
814,15.34
815,19.29
816,20.55
817,23.61
818,32.59
819,14.2
820,42.88
821,33.03
822,27.96
823,15.95
824,40.37
825,32.37
826,21.93
827,13.12
828,18.13
829,22.38
830,25.59
831,12.99
832,16.94
833,27.9
834,31.05
835,23.98
836,17.58
837,21.98
838,33.91
839,13.33
840,18.72
841,28.24
842,26.98
843,28.75
844,32.93
845,29.62
846,25.94
847,14.09
848,12.62
849,14.63
850,33.26
851,38.4
852,21.12
853,18.19
854,27.23
855,27.29
856,22.67
857,21.73
858,14.55
859,29.99
860,23.58
861,18.39
862,27.88
863,21.29
864,27.25
865,30.78
866,41.15
867,25.87
868,21.21
869,14.84
870,20.62
871,57.25
872,25.2
873,43.48
874,30.49
875,27.0
876,18.69
877,20.42
878,22.44
879,21.92
880,28.19
881,19.87
882,25.34
883,44.85
884,37.38
885,34.92
886,13.88
887,24.75
888,23.0
889,28.23
890,29.39
891,26.81
892,26.54
893,26.7
894,26.34
895,15.84
896,14.81
897,25.29
898,53.58
899,18.95
900,14.24
901,11.71
902,13.75
903,21.7
904,14.46
905,47.69
906,48.38
907,13.21
908,13.75
909,22.5
910,32.32
911,17.35
912,14.38
913,20.46
914,14.69
915,12.95
916,15.73
917,15.99
918,15.07
919,26.0
920,43.17
921,16.11
922,18.49
923,16.31
924,19.33
925,26.66
926,15.56
927,16.05
928,29.92
929,16.41
930,23.99
931,36.58
932,55.96
933,12.88
934,24.02
935,13.82
936,26.11
937,14.69
938,12.44
939,19.9
940,20.01
941,21.44
942,17.41
943,17.87
944,19.87
945,18.58
946,18.48
947,13.29
948,14.71
949,15.94
950,12.2
951,32.42
952,14.78
953,17.38
954,12.35
955,15.23
956,14.01
957,32.61
958,16.39
959,16.15
960,68.47
961,14.47
962,13.83
963,17.98
964,24.43
965,15.79
966,16.49
967,17.05
968,14.48
969,15.26
970,15.86
971,12.78
972,16.77
973,20.16
974,57.49
975,19.98
976,44.2
977,15.0
978,14.62
979,11.01
980,15.68
981,16.15
982,13.16
983,15.58
984,50.54
985,18.21
986,18.71
987,28.9
988,13.12
989,39.0
990,31.25
991,23.42
992,15.94
993,27.78
994,36.41
995,14.47
996,12.88
997,34.79
998,25.29
999,30.29
1000,11.7
1001,24.02
1002,14.82
1003,13.18
1004,14.32
1005,20.36
1006,25.97
1007,20.1
1008,15.14
1009,21.85
1010,15.36
1011,17.01
1012,16.81
1013,25.63
1014,17.29
1015,19.3
1016,17.35
1017,12.22
1018,13.74
1019,28.17
1020,17.33
1021,16.49
1022,21.45
1023,16.44
1024,21.71
1025,17.68
1026,53.77
1027,28.58
1028,32.21
1029,17.04
1030,30.29
1031,18.13
1032,31.64
